Centrality,Analytical
3.0814879110195774e-33,1.232595164407831e-32
1.9950828675413773e-07,7.485273878416066e-07
6.288503360713359e-07,3.033810358574256e-06
8.973451032764001e-07,4.493787971271773e-06
1.6165343023904998e-06,6.468718791623014e-06
1.7624237056958617e-06,5.753351197424861e-06
7.945335340578204e-07,8.796845967797977e-06
1.0838700507679403e-06,1.2819277217889232e-05
1.7759054927886375e-06,1.4611758536016545e-05
1.6313826283146283e-06,1.2273656446444079e-05
2.1254443014934197e-06,1.3710769221979928e-05
1.9489155488741445e-06,1.8238297315981964e-05
1.3800752115300718e-06,1.5873254787060006e-05
1.6200108841079622e-06,1.6184820125622145e-05
1.9394636182766335e-06,1.4098644323495797e-05
2.0941324386970837e-06,1.496034185360278e-05
1.6866799638334634e-06,1.7654817454717165e-05
2.2698107238614324e-06,1.926260333049796e-05
3.035422654892189e-06,2.178678990063893e-05
4.372915698346286e-06,1.813495260246492e-05
4.601588008570775e-06,1.5625840316898463e-05
4.742210291801328e-06,1.5336093392844304e-05
4.616006534976202e-06,1.7307726545271325e-05
4.420760019523007e-06,1.75547873761679e-05
4.45145687530717e-06,1.7152194313790787e-05
4.167900384355571e-06,1.6712058638549913e-05
4.221891575876765e-06,1.865658735516759e-05
3.86147426984392e-06,1.78441483477464e-05
3.044000622713511e-06,1.8182379918978726e-05
2.9455681051276572e-06,1.6402156821553498e-05
3.5403230591176746e-06,1.3733873602927744e-05
3.1899887207942345e-06,1.5003425422047845e-05
3.2087959670720346e-06,1.5033881097946177e-05
3.3314399058340477e-06,1.4253829411328545e-05
2.9732142898039023e-06,1.2722370982045322e-05
2.5857326313072214e-06,1.3114562577305045e-05
2.9002303071431254e-06,1.302604310941835e-05
3.954603462665982e-06,1.3751316979231628e-05
4.466581260073896e-06,1.4466944693931172e-05
4.935767350494378e-06,1.5004856688487098e-05
4.387936654952258e-06,1.3577274005112273e-05
4.7542578018053954e-06,1.3241648933392286e-05
4.6403814878866825e-06,1.3747530052403566e-05
4.248573521806224e-06,1.2847058007426781e-05
4.70872499989022e-06,1.191416466535512e-05
4.8882686129445945e-06,1.0558730074848097e-05
4.713098506522919e-06,1.0565487442392949e-05
5.659747356570867e-06,9.368406823164937e-06
5.724744643184533e-06,9.750855251638227e-06
5.7772428162447e-06,1.0157605782561662e-05
5.695616010846369e-06,1.0771001218536603e-05
5.361000989319383e-06,1.1805694678354645e-05
5.585107221696155e-06,1.1415565557417489e-05
5.1853136133296325e-06,1.0682067868794047e-05
5.09456464813571e-06,1.1299075408908618e-05
5.029075892280118e-06,1.2068811504290407e-05
5.2471585298264985e-06,1.1787690438408312e-05
5.741860849975082e-06,1.1921395678763076e-05
5.711581408299328e-06,1.1423341087036191e-05
5.376829061181052e-06,1.1530939214192725e-05
5.656609148021617e-06,1.281823028226275e-05
5.804080905997561e-06,1.354688431508016e-05
6.301707599847136e-06,1.2016901305958907e-05
7.439826870090326e-06,1.2172818206635733e-05
8.306050086243255e-06,1.2314456364145588e-05
7.338439255175155e-06,1.3605356003064802e-05
7.64131530724204e-06,1.3966158390649395e-05
7.314687588972164e-06,1.4115849167324656e-05
7.958316576033814e-06,1.3058581774738045e-05
8.065270929495684e-06,1.2689333167604992e-05
8.367896222563259e-06,1.1691308082431664e-05
9.006481781435159e-06,1.2538859384248684e-05
9.245224402771173e-06,1.1586327809319129e-05
8.825407450353189e-06,1.2629023970773616e-05
8.845881490339104e-06,1.2212037820364964e-05
9.027531706410798e-06,1.2380156695655566e-05
9.268912755055472e-06,1.1797196593515581e-05
9.820329690522393e-06,1.1800449043983257e-05
9.205839304918406e-06,1.2682129769636377e-05
9.623706966592466e-06,1.2328399801860832e-05
9.899449324941935e-06,1.214659853649663e-05
1.0013577544114635e-05,1.1981733228957947e-05
1.072845431570693e-05,1.15658037520554e-05
1.132438225494042e-05,1.0391471110191091e-05
1.1632530779583496e-05,9.643939037982663e-06
1.1974455368791556e-05,8.209145712810736e-06
1.1810750649801799e-05,8.0174711032655e-06
1.1054611416008376e-05,9.215952394679821e-06
1.0793990173324155e-05,9.41964330854315e-06
1.1255302040185756e-05,1.009383940599984e-05
1.1417992620741515e-05,1.0145810180650348e-05
1.1123441230759345e-05,1.0213140450714695e-05
1.1179121476528534e-05,1.0264043086963141e-05
1.066587336311857e-05,1.1075423309840803e-05
1.0628219857255982e-05,1.1365134261924926e-05
1.0446607846732777e-05,1.1297164225380486e-05
1.0394909321842742e-05,1.0767885187911721e-05
1.0613910670422803e-05,1.0308301100198858e-05
1.067868844910818e-05,1.0477123218283876e-05
1.0554212965372473e-05,1.0248867239899288e-05
1.014610464109815e-05,1.029369324723701e-05
1.0007731991273523e-05,1.054381357132065e-05
1.0142900430939875e-05,1.057528022502037e-05
1.0153106958505467e-05,1.0415647076669137e-05
9.813066960893962e-06,1.0765857394713603e-05
9.871625138909975e-06,1.0694762646504323e-05
9.19658357407207e-06,1.095567672031264e-05
9.605233556329582e-06,1.1186102054999306e-05
9.352913651098326e-06,1.1558369862936366e-05
9.13206623250868e-06,1.2351381890801758e-05
8.981530654846839e-06,1.1768694918751915e-05
8.977672168237718e-06,1.2197183159798259e-05
9.550584271505104e-06,1.2858425680639332e-05
1.0004701083464786e-05,1.256580567958189e-05
1.0025039745762033e-05,1.19587910183599e-05
9.423455853376681e-06,1.1383320374471982e-05
9.714448784269049e-06,1.0845037895534421e-05
9.492441388392151e-06,1.1143310284368404e-05
9.1924623548846e-06,1.132622337390603e-05
9.262288305595855e-06,1.128739819258794e-05
9.4037585969941e-06,1.182498812450545e-05
9.583646252875242e-06,1.1846909921908345e-05
1.003345808744651e-05,1.145797739246012e-05
1.0053879961744437e-05,1.1478152941808026e-05
9.96739561420818e-06,1.1223084217208217e-05
1.0140033012637572e-05,1.1091861790944077e-05
9.918959385669707e-06,1.1902273338432016e-05
9.971056464185688e-06,1.2368085021227816e-05
1.0264193253481335e-05,1.2280409760315211e-05
9.642963649414209e-06,1.2909220016180765e-05
1.0048465645986255e-05,1.226523644517964e-05
1.0203455571396437e-05,1.2025578452104593e-05
1.0380113361076067e-05,1.1611186141664907e-05
1.015388906783066e-05,1.1650795702947012e-05
1.0433968488896863e-05,1.1596918228097346e-05
1.1370404238460256e-05,1.163004248725176e-05
1.091660124302026e-05,1.1717589141621777e-05
1.0849370203583052e-05,1.124164611894244e-05
1.0988635547089166e-05,1.2043546529384428e-05
1.1072342300216344e-05,1.264655509788193e-05
1.103541966201204e-05,1.311385614636221e-05
